feature,importance
traffic_lag_1h,0.36447488759378377
hour_cos,0.2135029681910984
hour,0.1460330325362915
day_of_week,0.06969593654195672
hour_sin,0.023531668349103675
traffic_rolling_6h,0.02335510647333716
traffic_rolling_3h,0.021723517155390316
traffic_lag_24h,0.01449243012611121
day_of_year,0.012990692428555727
temp_celsius,0.012292139310985672
year,0.010261023589714391
clouds_all,0.006118092545509546
month_cos,0.0037741967673829537
month_sin,0.0035193136054326724
weather_code,0.0027908145111003478
rain_1h,0.001075671624452279
month,0.000679769062953306
is_holiday,0.0006143333093152625
weather_severity,0.00043459584296923204
is_morning_rush,0.00039738336027257405
is_rush_hour,0.0003944991764286421
is_weekend,0.0
rush_type,0.0
is_evening_rush,0.0
snow_1h,0.0
is_raining,0.0
is_snowing,0.0
